,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
3157,36409093,Bousali 2022,Tracing the First Days of the SARS-CoV-2 Pandemic in Greece and the Role of the First Imported Group of Travelers.,2022, Greece,,23,GISAID,Yes,Table,Yes,Yes,No,Text; Table,No,Yes,No,No,No,No,No,Text
3146,36528712,Bordoy 2022,Monitoring SARS-CoV-2 variant transitions using differences in diagnostic cycle threshold values of target genes.,2022, Spain,,"4,618",GISAID,Yes,Supplemental materials,Yes,Yes,No,Text,No,No,No,No,No,No,No,
3144,36522489,Alteri 2022,"A proof-of-concept study on the genomic evolution of Sars-Cov-2 in molnupiravir-treated, paxlovid-treated and drug-naïve patients.",2022, Italy,,65,ENA,Yes,Text,Yes,Yes,No,Text; Table,Yes,No,No,No,Yes,Yes,No,Text; table; Supplemental; Figure
3129,36523785,Dai 2022,Identification of severe acute respiratory syndrome coronavirus 2 breakthrough infections by anti-nucleocapsid antibody among fully vaccinated non-healthcare workers during the transition from the delta to omicron wave.,2022,United States,,3,GenBank,Yes,Table,Yes,Yes,Yes,Table,No,No,No,Yes,Yes,No,Yes,Text; table
3123,36498998,Gushchin 2022,Dynamics of SARS-CoV-2 Major Genetic Lineages in Moscow in the Context of Vaccine Prophylaxis.,2022, Russia,,3508,GISAID,Yes,Text,No,No,No,,No,No,No,No,No,No,Yes,Text
3120,36494499,Zornikova 2022,Clonal diversity predicts persistence of SARS-CoV-2 epitope-specific T-cell response.,2022, Russia,,50,ENA,Yes,Text,Yes,Yes,No,Text; Supplemental,No,No,No,Yes,No,Yes,Yes,Text; Supplemental
3116,36600354,Gill 2022,"What is the prevalence of COVID-19 detection by PCR among deceased individuals in Lusaka, Zambia? A postmortem surveillance study.",2022, Zambia,,96,GISAID,No,,Yes,Yes,No,Text; Table; Supplemental,No,Yes,Yes,No,Yes,No,No,Text; table; Supplemental; Figure
3115,36504818,Dingemans 2022,Investigating SARS-CoV-2 breakthrough infections per variant and vaccine type.,2022, The Netherlands,,225,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,No,No,Yes,Yes,Yes,No,Yes,Text; table; Supplemental
3111,36483394,Reeves 2022,Severe acute respiratory coronavirus virus 2 (SARS-CoV-2) infections occurring in healthcare workers after booster vaccination: A comparison of delta versus omicron variants.,2022,United States,,279,GISAID,No,,Yes,Yes,Yes,Table,Yes,Yes,No,No,Yes,No,Yes,table
3102,36048527,Morris 2022,SARS-CoV-2 reinfections during the Delta and Omicron waves.,2022,United States,,127,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Figure,Yes,Yes,No,No,Yes,No,Yes,Text; Figure
3100,36464472,Buenestado-Serrano 2022,First confirmation of importation and transmission in Spain of the newly identified SARS-CoV-2 B.1.1.7 variant.,2022, Spain,,8,GISAID,Yes,Text,Yes,Yes,No,Text,Yes,Yes,No,No,Yes,Yes,No,Text
3096,36467294,Sansom 2022,Genomic Investigation to Identify Sources of Severe Acute Respiratory Syndrome Coronavirus 2 Infection Among Healthcare Personnel in an Acute Care Hospital.,2022,United States,,664,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,No,No,No,No,Yes,No,No,Text
3093,36322955,Wei 2022,"Probable Aerosol Transmission of SARS-CoV-2 through Floors and Walls of Quarantine Hotel, Taiwan, 2021.",2022, Taiwan,,3,GISAID,Yes,Text; Figure,No,No,No,,No,Yes,No,No,No,No,Yes,Text; Figure
3088,36496300,Liu 2023,Evolution of neutralizing antibodies and cross-activity against different variants of SARS-CoV-2 in patients recovering from COVID-19.,2023, Taiwan,,12,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,No,Yes,Yes,Yes,Yes,No,Text; table
3084,36435798,Donovan-Banfield 2022,Characterisation of SARS-CoV-2 genomic variation in response to molnupiravir treatment in the AGILE Phase IIa clinical trial.,2022,UK,,180,Sequence read archive (SRA),Yes,Supplemental materials,Yes,Yes,Yes,Supplemental,No,No,No,Yes,Yes,Yes,Yes,Text; table; Supplemental; Figure
3082,36423117,Lai 2022,Epidemiological and Clinical Features of SARS-CoV-2 Variants Circulating between April-December 2021 in Italy.,2022, Italy,,4375,GISAID,No,,Yes,Yes,No,Text,No,Yes,Yes,No,Yes,No,Yes,Text; Supplemental; Figure
3081,36366521,DantasACS 2022,"Retrospective Analysis of the SARS-CoV-2 Infection Profile in COVID-19 Positive Patients in Vitoria da Conquista, Northeast Brazil.",2022,Brazil,,71,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,Yes,No,Yes,Yes,No,No,No,Text; table; Supplemental
3071,36448028,Koné 2023,Dynamics of SARS-CoV-2 variants characterized during different COVID-19 waves in Mali.,2023, Mali,,80,GISAID,Yes,Text,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,No,Text; table
3070,36359452,Deminco 2022,A Simplified Sanger Sequencing Method for Detection of Relevant SARS-CoV-2 Variants.,2022,Brazil,,103,GenBank; GISAID,Yes,Supplemental materials,Yes,Yes,No,Text,Yes,Yes,No,No,Yes,No,No,Text
3061,36408542,Vu 2022,Absence of antibody responses to SARS-CoV-2 N protein in COVID-19 vaccine breakthrough cases.,2022,United States,,3,GISAID,Yes,Text; Supplemental materials,Yes,Yes,Yes,Table,Yes,No,No,No,No,No,Yes,Text; table; Figure
3052,36289399,Choudhary 2022,Emergence of SARS-CoV-2 escape mutations during Bamlanivimab therapy in a phase II randomized clinical trial.,2022,,,973,Sequence read archive (SRA),Yes,Text,Yes,Yes,Yes,Table,No,Yes,No,No,Yes,Yes,No,Text; table
3050,36214224,Seaman 2022,Vaccine breakthrough infection leads to distinct profiles of neutralizing antibody responses by SARS-CoV-2 variant.,2022,,,50,GenBank,Yes,Text,Yes,Yes,No,Table,No,No,No,No,Yes,No,Yes,Text; table
3043,36250864,Al-RashediNAM 2022,Genome Sequence of an Early Imported Case of SARS-CoV-2 Delta Variant (B.1.617.2 AY.122) in Iraq in April 2021.,2022, Iraq,,1,GenBank; GISAID; Sequence read archive (SRA),Yes,Text,Yes,Yes,No,Text,No,No,No,No,Yes,No,No,Text
3040,36314788,Piewbang 2022,"SARS-CoV-2 Transmission from Human to Pet and Suspected Transmission from Pet to Human, Thailand.",2022, Thailand,,4,GenBank,Yes,Text; Table,No,Yes,No,Table,No,No,No,No,Yes,No,Yes,Text; table
3037,36405589,Zaman 2022,Omicron BA.2 lineage predominance in severe acute respiratory syndrome coronavirus 2 positive cases during the third wave in North India.,2022,India,,147,GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,Yes,Yes,No,No,Yes,No,Yes,Text; table; Supplemental
3031,36362544,Ahangarzadeh 2022,Association of Clinical Features with Spike Glycoprotein Mutations in Iranian COVID-19 Patients.,2022, Iran,,60,GenBank,Yes,Supplemental materials,Yes,Yes,Yes,Supplemental,No,No,No,No,Yes,No,No,Text; table
3014,36348341,Khamadi 2022,"Whole-genome sequence analysis reveals the circulation of multiple SARS-CoV-2 variants of concern in Nairobi and neighboring counties, Kenya between March and July 2021.",2022, Kenya,,64,GISAID,Yes,Text,Yes,Yes,No,Text,No,No,No,No,No,No,No,
3002,36339137,Joshi 2022,Lack of evidence of viability and infectivity of SARS-CoV-2 in the fecal specimens of COVID-19 patients.,2022,India,,4,GISAID,Yes,Text,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,No,Text; table
2996,36098494,Saade 2022,Dynamics of viral shedding during ancestral or Omicron BA.1 SARS-CoV-2 infection and enhancement of pre-existing immunity during breakthrough infections.,2022, France,,71,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,Yes,No,No,Yes,No,No,Text; table
2985,36338321,Panzera 2022,Emergence and spreading of the largest SARS-CoV-2 deletion in the Delta AY.20 lineage from Uruguay.,2022, Uruguay,,37,GenBank,Yes,Table,Yes,Yes,No,Table,Yes,Yes,No,Yes,No,No,Yes,Text; table
2982,36309507,Douglas 2022,Tracing the international arrivals of SARS-CoV-2 Omicron variants after Aotearoa New Zealand reopened its border.,2022, New Zealand,,"10,403",GenBank,Yes,Text,No,No,No,,No,Yes,No,No,No,No,No,Text
2977,36320663,Zhang 2022,"An imported human case with the SARS-CoV-2 Omicron subvariant BA.2.75 in Yunnan Province, China.",2022, China,,1,GISAID,Yes,Text,Yes,Yes,No,Text,No,Yes,No,Yes,No,No,Yes,Text
